スラッグ,和名,英名・学名,カテゴリ,英字カテゴリ,リード文,キャッチコピー,原産地,大きさ,寿命,食べ物,特徴,豆知識,メイン写真,サブ写真,POPカード
cockatoo,アオメキバタン,White Cockatoo (Cacatua alba),鳥類・インコ,BIRD,オーストラリアやインドネシア周辺に生息する大型インコ。知能が高く、感情豊かで人とのコミュニケーションをよく取ります。,美しい白い羽と黄色の冠羽が特徴の大型インコの一種。おしゃべりが得意で、明るく人懐っこい性格から、とても人気のある鳥です。,オーストラリア北部、インドネシア、パプアニューギニアなど,"全長 約45〜55cm／体重 約700〜1,000g",約40〜60年,種子・果物・野菜・ナッツ・穀類などをバランスよく食べます。,白い体に黄色の冠羽が美しく、感情表現が豊かです。おしゃべりや物まねが得意で、芸を覚えることもあります。非常に社交的で、遊ぶことや人とのふれあいが大好きな明るい性格です。,アオメキバタンは家族との絆がとても強く、飼い主さんに深い愛情を示します。長時間のお留守番はストレスになることがあるので、たくさんのふれあいと遊びの時間が大切です。,images/a/cockatoo.webp,images/a/cockatoo-2.webp,images/a/cockatoo-pop.webp
aldabra,アルダブラゾウガメ,Aldabra Giant Tortoise (Aldabrachelys gigantea),爬虫類,REPTILE,インド洋アルダブラ諸島に生息する世界最大級のリクガメ。その巨体と穏やかな性格で、多くの人々に愛されています。,世界最大級のカメとして知られるアルダブラゾウガメ。穏やかでのんびりとした性格で、長い寿命を持つことから「生きる化石」とも呼ばれています。,インド洋アルダブラ諸島（セーシェル共和国）,甲長 約100〜120cm 以上／体重 最大で200kgを超えることもあります,約100〜150年以上,主に草・葉・果物などの植物質を食べます。カルシウムを含む野草や野菜が大切です。,非常に穏やかで人に慣れやすく、のんびりとした動きが特徴です。乾燥に強く、暑さにも適応しますが、強い日差しや過剰な乾燥には注意が必要です。その長寿と巨大な体から「生きる化石」とも呼ばれています。,アルダブラゾウガメは、かつては絶滅の危機に瀕していましたが、保護活動により個体数が回復しています。今ではワシントン条約（CITES）で国際的に保護されている貴重な生き物です。,images/a/aldabra.webp,images/a/aldabra-2.webp,images/a/aldabra-pop.webp
sulcata,ケヅメリクガメ,Sulcata Tortoise,爬虫類,REPTILE,アフリカのサハラ砂漠南部に生息する陸生のリクガメ。温厚で環境への適応力が高く、飼育下でも丈夫で育てやすい種類です。,砂漠地帯に生息する世界最大級のリクガメ。のんびりとした性格で、長寿の象徴としても知られています。,アフリカ大陸北部（サハラ砂漠南部などの乾燥地帯）,甲長 約70〜100cm 以上になることもあり、体重は最大で100kgを超えることもあります,約50〜100年以上,野草・牧草・野菜・果物などを食べます。高繊維の食事が健康維持のポイントです。,乾燥した環境に適応した体を持ち、非常にゆっくりとした動きが特徴です。強い甲羅で身を守り、温厚で落ち着いた性格のため、ペットとしても人気があります。,ケヅメリクガメは「砂漠の舟」とも呼ばれ、長い旅をするように広い範囲を移動します。また、非常に高い寿命を持ち、飼い主と長い時間を共に過ごすことができます。,images/a/sulcata.webp,images/a/sulcata-2.webp,images/a/sulcata-pop.webp
salvator-mel,サルバトールモニター（メラニスティック）,Melanistic Asian Water Monitor,爬虫類,REPTILE,全身が黒く美しい「メラニスティック（黒化）」タイプのサルバトールモニターです。,力強い見た目とは裏腹に、とても知能が高く人に慣れる個体も多い大型のトカゲです。,東南アジア（タイ・マレーシア・インドネシアなど）,オスは全長 約2〜2.5m になることもある大型のトカゲです,約15〜20年,魚・甲殻類・昆虫・小動物・卵など、さまざまなものを食べます。,サルバトールモニターの中でも、全身が黒く美しい「メラニスティック（黒化）」タイプの個体です。力強い見た目とは裏腹に、とても知能が高く、飼育下では人に慣れる個体も多くいます。泳ぎや木登りも得意で、運動能力に優れています。,サルバトールモニターは泳ぎがとても得意！長い尾を使ってバランスを取りながら水中をスイスイ泳ぎ、潜ることもできます。,images/a/salvator-mel.webp,images/a/salvator-mel-2.webp,images/a/salvator-mel-pop.webp
salvator-azu,サルバトールモニター アザンティック,Salvator Monitor (Azuranticus),爬虫類,REPTILE,東南アジアに生息する大型のトカゲで、美しい白黒模様が特徴です。高い知能を持ち、運動能力にも優れ、非常に魅力的なモニターです。,美しい白黒模様が特徴のサルバトールモニター。賢く活発で、飼育者によく慣れる種類です。,インドネシア（スマトラ島、ボルネオ島など）周辺の熱帯雨林,全長 約1.5〜2.5m になることもある、大型のモニターです,約15〜20年（環境や飼育状況により変動します）,魚・エビ・鶏肉・卵・昆虫・齧歯類など、動物性のものを中心に与えます。,アザンティックは白と黒のコントラストが美しい模様を持ち、成長とともにより鮮明になります。非常に賢く、活発で好奇心旺盛な性格です。遊泳能力も高く、水場を好む傾向があります。しっかりとしたスペースと環境を整えることで、健康的に長く飼育することができます。,サルバトールモニターは高い学習能力を持ち、名前を覚えたり、飼育者の声に反応したりすることがあります。水に入ることが大好きで、泳ぎも得意なアクティブなモニターです。,images/a/salvator-azu.webp,images/a/salvator-azu-2.webp,images/a/salvator-azu-pop.webp
yellowhead,イエローヘッドモニター,Yellow Head Monitor (Varanus cumingi),爬虫類,REPTILE,オーストラリアやインドネシアの乾燥地帯に生息する大型のモニター。陸生で高い運動能力と探索能力を持つ、非常に魅力的なトカゲです。,美しいイエローの頭部とパワフルな体が魅力の大型モニター。活発で好奇心旺盛な性格です。,オーストラリア北部・ニューギニア南部・インドネシア（アルー諸島など）,全長 約120〜150cm／体重 約4〜8kg,約15〜20年,昆虫・小動物・卵・果物などを食べます。野生下では多様な動物を捕食します。,頭部の鮮やかなイエローが特徴で、体は黒と黄の美しい模様が入ります。非常に運動能力が高く、泳ぎも得意です。好奇心旺盛で探索行動が強く、飼育下でも観察していて飽きない種類です。,イエローヘッドモニターは「探検家」のようにテリトリーを広く移動し、環境に合わせて行動を変えます。飼育には十分な広さと刺激が必要です。また、脱皮は頭から始まり、体全体がきれいに脱げると健康のサインです。,images/a/yellowhead.webp,images/a/yellowhead-2.webp,images/a/yellowhead-pop.webp
redtegu,レッドテグー,Red Tegu (Tupinambis rufescens),爬虫類,REPTILE,南米に生息する大型のトカゲの一種。鮮やかな赤色の体色と高い知能を持ち、ペットとしても非常に人気があります。,活発で好奇心旺盛！美しい赤い体色が魅力の大型トカゲ。賢く人にもよく慣れます。,南アメリカ（ブラジル、アルゼンチン、パラグアイなど）,全長 約90〜120cm／体重 約4〜7kg,約15〜20年,雑食性で、昆虫、肉類（鶏肉・牛肉など）、卵、野菜や果物などをバランスよく与えます。,非常に知能が高く、人に懐きやすいのが特徴です。活発で探索行動が多く、広い飼育スペースが必要です。赤く美しい体色は成長とともに鮮やかになります。,名前の「テグー」は現地語で「太ったトカゲ」という意味があります。赤色は日光浴や栄養状態によってより鮮やかになると言われています。,images/a/redtegu.webp,images/a/redtegu-2.webp,images/a/redtegu-pop.webp
beardie,フトアゴヒゲトカゲ,Bearded Dragon (Pogona vitticeps),爬虫類,REPTILE,オーストラリアの乾燥地帯に生息するトカゲの一種。“フトアゴ”と呼ばれるのどのヒゲをふくらませるユニークな行動が特徴です。,人懐っこく飼育しやすいトカゲの代表種。表情豊かで魅力たっぷりの人気者です。,オーストラリア内陸部の乾燥地帯や半砂漠地帯,全長 約40〜60cm／体重 約300〜600g,約8〜12年,昆虫（コオロギ・デュビアなど）を中心に、野菜や果物もバランスよく与えます。,温厚でおとなしく、飼い主によく慣れます。のどのヒゲをふくらませて威嚇したり、体の色を変化させて気分や体温を調整します。昼行性で、日光浴をとても好みます。,フトアゴヒゲトカゲのヒゲは、威嚇だけでなく体温調節の役割もあります。黒くなると暑いとき、白っぽくなるとリラックスしているサインとも言われています。,images/a/beardie.webp,images/a/beardie-2.webp,images/a/beardie-pop.webp
sailfin,ハルマヘラホカケトカゲ,Halmahera Sailfin Lizard (Hydrosaurus weberi),爬虫類,REPTILE,ハルマヘラ島の熱帯雨林に生息する大型の樹上性トカゲ。美しい体色と優雅な姿で、観賞価値の高い人気種です。,インドネシアのハルマヘラ島に生息する美しい樹上性トカゲ。鮮やかな体色と長い尾が特徴です。,インドネシア ハルマヘラ島の熱帯雨林,全長（尾含む）約80〜100cm／体重 約300〜600g,約10〜15年,昆虫（コオロギ・デュビアなど）を主食に、野菜・果物もバランスよく与えます。,高い場所を好み、木登りが得意です。臆病な性格ですが、慣れるとよく観察し、飼い主との信頼関係を築くことができます。美しい緑色の体色は、環境や気分によって変化します。,「ホカケトカゲ」の仲間は、のどのヒレ（喉垂）や体の模様が特徴です。ハルマヘラホカケトカゲは、その中でも特に美しい色彩を持つことで知られています。本種は CITES 附属書 II に登録されています。,images/a/sailfin.webp,images/a/sailfin-2.webp,images/a/sailfin-pop.webp
carpet,カーペットパイソン（アルビノジャガー）,Carpet Python (Albino Jaguar),爬虫類,REPTILE,オーストラリアやニューギニアに生息する大型のヘビの一種。美しい体色と模様から、コレクション性の高い人気種です。,美しいアルビノとジャガー模様が融合した希少で人気の高いカーペットパイソン。温和で飼育しやすく、初心者にもおすすめのヘビです。,オーストラリア、ニューギニア、インドネシアなどの熱帯地域,全長 約2〜3m／体重 約3〜8kg,約15〜20年,主に小型哺乳類（ラット・マウスなど）を与えます。適切な給餌管理が重要です。,アルビノ特有の美しい白と黄色の体色と、ジャガー模様が魅力のモルフです。性格はおとなしく、ハンドリングにも慣れやすい個体が多いです。飼育環境を整えれば長期飼育に向いています。,カーペットパイソンは名前の通り、体を絨毯のように広げてくつろぐ姿が見られることがあります。木登りも得意で、環境の立体的なレイアウトを好みます。,images/a/carpet.webp,images/a/carpet-2.webp,images/a/carpet-pop.webp
papuan,パプアンパイソン,Papuan Python,爬虫類,REPTILE,美しい光沢のある体色が魅力のパプアンパイソン。比較的おとなしく、落ち着いた性格で飼育しやすい大型のヘビです。,美しい光沢と落ち着いた性格を持つ、迫力のある大型のパイソンです。,インドネシア・パプア（ニューギニア島）周辺の熱帯雨林,全長 約6〜7m になることもある、大型のパイソンです,約20〜30年,ネズミ・ラット・ウサギ・鳥類など、さまざまな動物を食べます。,美しいオリーブブラウンの体色に、虹色のような光沢を持つことが特徴です。おとなしい性格で、驚かせなければ攻撃的になることは少なく、ハンドリングにも比較的慣れやすい種類です。水中でも活動することができ、泳ぎも得意です。,パプアンパイソンは、他の大型ヘビに比べて成長がゆっくりです。長い時間をかけて大きくなるので、その成長をじっくり楽しむことができます。,images/a/papuan.webp,images/a/papuan-2.webp,images/a/papuan-pop.webp
anaconda,イエローアナコンダ,Yellow Anaconda,爬虫類,REPTILE,美しい黄色い体色と黒い斑模様が特徴の、南米に生息する大型のヘビです。,美しい黄色い体色と黒い斑模様が特徴の、世界最大級のヘビの一種です。,南アメリカ（ブラジル・ボリビア・パラグアイ・ベネズエラなど）,全長 約3〜4m になることもある、世界最大級のヘビの一種です,約20〜30年,魚・カエル・鳥類・哺乳類など、大きな獲物も丸呑みにします。,体色はオリーブイエローから黄金色で、黒い斑模様が美しいアナコンダです。水中での生活を得意とし、優れた泳ぎと強い筋力で獲物を捕らえます。普段はおとなしく、危険を感じると水中に逃げ込むことが多いです。,イエローアナコンダは、アナコンダの中でも特に水に潜るのが得意！鼻と目を水面に出したまま、長時間じっと待ち伏せすることができます。,images/a/anaconda.webp,images/a/anaconda-2.webp,images/a/anaconda-pop.webp
